Dataset,Image Type,Baseline Accuracy (%),CLIP Fusion Accuracy (%),Accuracy Improvement (%),Baseline Confidence (%),CLIP Confidence (%),Confidence Change (%)
Caltech,Cropped,68.30000000000001,73.4,5.099999999999993,86.86666666666665,59.887118385180806,-26.979548281485844
Caltech,Full,58.099999999999994,60.0,1.9000000000000017,84.0,56.895337055415006,-27.10466294458499
Serengeti,Cropped,67.0,68.75,1.749999999999996,88.77777777777779,59.18468225027922,-29.59309552749857
Serengeti,Full,66.41666666666667,66.41666666666667,0.0,86.5,58.26815855422739,-28.23184144577261
Wcs,Cropped,58.199999999999996,60.199999999999996,2.0000000000000018,88.06666666666666,61.094720422031834,-26.971946244634825
Wcs,Full,72.1,76.4,4.300000000000004,87.83333333333333,95.66666666666667,7.833333333333348
